Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
Spencer Dinwiddie,0.411764705882353,0.537037037037037,0.3197278911564626,0.24,0.07142857142857144,0.376,0.31,0.811,0.6870588235294117
Spencer Dinwiddie,0.5163398692810458,0.3611111111111111,0.2108843537414966,0.27999999999999997,0.10714285714285714,0.498,0.404,0.725,0.6423529411764706
Donte DiVincenzo,0.29411764705882354,0.25925925925925924,0.272108843537415,0.44000000000000006,0.07142857142857144,0.351,0.339,0.843,0.5411764705882353
Donte DiVincenzo,0.23529411764705885,0.15740740740740738,0.2380952380952381,0.24,0.07142857142857144,0.331,0.284,0.852,0.4494117647058824
Donte DiVincenzo,0.3366013071895425,0.3333333333333333,0.2993197278911565,0.6000000000000001,0.07142857142857144,0.362,0.368,0.839,0.6023529411764705
Luka Don?i?,0.9281045751633987,0.8055555555555555,0.6190476190476191,0.48,0.21428571428571427,0.457,0.353,0.744,0.8094117647058823
Luguentz Dort,0.5620915032679739,0.15740740740740738,0.28571428571428575,0.36000000000000004,0.14285714285714288,0.404,0.332,0.843,0.7435294117647059
Ayo Dosunmu,0.28758169934640526,0.3055555555555555,0.1904761904761905,0.32000000000000006,0.14285714285714288,0.52,0.376,0.679,0.6211764705882352
Damyean Dotson,0.06535947712418301,0.046296296296296294,0.06802721088435375,0.0,0.0,0.5,0.0,0.0,0.2235294117647059
Devon Dotson,0.08496732026143791,0.12962962962962962,0.054421768707483,0.04000000000000001,0.0,0.478,0.222,0.556,0.15764705882352942
Sekou Doumbouya,0.22875816993464054,0.0,0.20408163265306123,0.6000000000000001,0.35714285714285715,0.625,0.5,0.75,0.16470588235294117
Jeff Dowtin,0.06862745098039216,0.10185185185185186,0.1360544217687075,0.24,0.03571428571428572,0.308,0.111,1.0,0.2588235294117647
Jeff Dowtin,0.04901960784313726,0.07407407407407407,0.12244897959183675,0.0,0.10714285714285714,0.5,0.0,0.0,0.1411764705882353
Jeff Dowtin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764
Jeff Dowtin,0.10784313725490197,0.16666666666666666,0.1904761904761905,0.52,0.0,0.263,0.143,1.0,0.4305882352941176
PJ Dozier,0.17647058823529413,0.14814814814814814,0.2380952380952381,0.24,0.10714285714285714,0.364,0.313,0.769,0.42117647058823526
Goran Dragi?,0.2450980392156863,0.3796296296296296,0.2108843537414966,0.36000000000000004,0.07142857142857144,0.377,0.254,0.818,0.5341176470588235
Goran Dragi?,0.26143790849673204,0.16666666666666666,0.1904761904761905,0.4,0.07142857142857144,0.382,0.286,1.0,0.4
